Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71963610,0,"Sunday, March 31, 2013 05:08:40 UTC",38.8453,-122.8262,1.0,2.30,15,"Northern California"
ak,10684421,2,"Sunday, March 31, 2013 04:58:04 UTC",63.5102,-147.3383,1.2,2.10,37,"Central Alaska"
nc,71963605,0,"Sunday, March 31, 2013 04:58:02 UTC",38.8460,-122.8262,1.2,2.30,17,"Northern California"
ak,10684416,2,"Sunday, March 31, 2013 04:50:38 UTC",63.5158,-147.3029,1.6,3.50,41,"Central Alaska"
ci,11276058,1,"Sunday, March 31, 2013 04:39:43 UTC",32.9260,-115.5227,2.0,16.60,27,"Southern California"
ak,10684411,2,"Sunday, March 31, 2013 04:32:47 UTC",60.9836,-150.8419,1.1,14.90,29,"Kenai Peninsula, Alaska"
ak,10684409,2,"Sunday, March 31, 2013 04:18:15 UTC",62.1433,-149.1055,1.1,33.00,29,"Central Alaska"
ak,10686233,2,"Sunday, March 31, 2013 04:14:41 UTC",61.9086,-152.1255,1.5,129.90,36,"Southern Alaska"
ak,10684404,2,"Sunday, March 31, 2013 04:02:06 UTC",60.1115,-151.5158,2.1,54.80,45,"Kenai Peninsula, Alaska"
ak,10686231,2,"Sunday, March 31, 2013 04:01:05 UTC",51.4213,-179.2239,2.0,46.10,10,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10684396,2,"Sunday, March 31, 2013 03:31:17 UTC",59.9684,-152.4989,1.7,80.10,36,"Southern Alaska"
nc,71963580,0,"Sunday, March 31, 2013 03:03:30 UTC",38.8367,-122.7843,1.4,1.90,20,"Northern California"
pr,13090000,0,"Sunday, March 31, 2013 02:17:42 UTC",18.9916,-64.9296,2.8,24.00, 3,"Virgin Islands region"
ak,10684384,2,"Sunday, March 31, 2013 02:06:23 UTC",62.8031,-151.7305,1.3,8.60,22,"Central Alaska"
ak,10686226,2,"Sunday, March 31, 2013 01:52:15 UTC",53.7377,-166.9220,2.0,113.70,17,"Fox Islands, Aleutian Islands, Alaska"
ak,10684381,2,"Sunday, March 31, 2013 01:52:05 UTC",53.8364,-166.6055,1.2,3.10,14,"Fox Islands, Aleutian Islands, Alaska"
ak,10684379,2,"Sunday, March 31, 2013 01:45:09 UTC",60.4649,-152.1125,1.6,84.80,35,"Southern Alaska"
us,b000fwvh,7,"Sunday, March 31, 2013 01:43:37 UTC",-20.5567,-68.8872,4.4,90.80,57,"Tarapaca, Chile"
ci,11275994,2,"Sunday, March 31, 2013 01:23:50 UTC",34.2517,-118.4282,1.1,8.40,14,"Greater Los Angeles area, California"
nc,71963525,0,"Sunday, March 31, 2013 01:02:23 UTC",38.7718,-122.7153,1.1,2.00,10,"Northern California"
ak,10684372,3,"Sunday, March 31, 2013 00:52:57 UTC",51.9534,-173.3456,2.5,63.40,18,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10684370,2,"Sunday, March 31, 2013 00:49:35 UTC",59.6725,-136.4777,1.4,18.50,13,"Southeastern Alaska"
us,b000fwvd,6,"Sunday, March 31, 2013 00:49:30 UTC",20.8801,121.9658,4.4,35.10,23,"Batan Islands region, Philippines"
ak,10684368,2,"Sunday, March 31, 2013 00:40:39 UTC",64.9129,-149.2537,1.5,20.40,29,"Central Alaska"
nn,00407945,1,"Sunday, March 31, 2013 00:30:36 UTC",39.4190,-119.9192,1.2,8.70,24,"Nevada"
nc,71070634,2,"Sunday, March 31, 2013 00:21:47 UTC",38.7647,-122.7315,1.3,1.70,19,"Northern California"
nc,71963490,3,"Sunday, March 31, 2013 00:21:29 UTC",38.7728,-122.7353,2.4,1.40,78,"Northern California"
ci,11275938,2,"Sunday, March 31, 2013 00:08:10 UTC",34.6940,-119.0548,1.1,14.00,12,"Southern California"
nc,71963480,3,"Sunday, March 31, 2013 00:03:04 UTC",38.5525,-119.6092,1.8,10.20,15,"Northern California"
ak,10686949,2,"Saturday, March 30, 2013 23:49:25 UTC",52.1142,-173.5378,1.9,28.80, 5,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10684355,2,"Saturday, March 30, 2013 23:43:11 UTC",63.1270,-151.8804,1.4,8.70, 8,"Central Alaska"
nc,71963465,3,"Saturday, March 30, 2013 23:18:52 UTC",36.2993,-120.8565,2.3,7.80,70,"Central California"
nc,71963450,0,"Saturday, March 30, 2013 22:58:14 UTC",38.8277,-122.8012,1.0,3.60,19,"Northern California"
nc,71963445,1,"Saturday, March 30, 2013 22:57:23 UTC",38.8262,-122.8005,1.1,3.60,21,"Northern California"
ak,10684343,2,"Saturday, March 30, 2013 22:55:28 UTC",62.0700,-145.1550,1.2,19.50, 7,"Central Alaska"
nn,00407937,1,"Saturday, March 30, 2013 22:55:10 UTC",38.5518,-119.5387,1.0,3.30,12,"Central California"
ci,11275898,2,"Saturday, March 30, 2013 22:26:02 UTC",33.8190,-116.1067,1.2,2.20, 6,"Southern California"
nc,71963420,3,"Saturday, March 30, 2013 22:25:34 UTC",36.1612,-120.2683,1.8,11.00,51,"Central California"
nc,71963400,2,"Saturday, March 30, 2013 22:01:44 UTC",40.1083,-121.5047,1.4,11.80,12,"Northern California"
ak,10686944,2,"Saturday, March 30, 2013 22:00:00 UTC",60.1561,-153.0220,1.4,118.70, 8,"Southern Alaska"
ak,10684331,2,"Saturday, March 30, 2013 21:51:02 UTC",60.0657,-152.5453,1.7,93.00,11,"Southern Alaska"
us,b000fwtl,9,"Saturday, March 30, 2013 21:48:02 UTC",-20.9025,176.5834,5.0,32.00,67,"south of the Fiji Islands"
us,b000fwth,8,"Saturday, March 30, 2013 21:43:19 UTC",40.4674,-126.1532,5.1,10.10,143,"off the coast of Northern California"
ak,10686942,2,"Saturday, March 30, 2013 21:37:16 UTC",58.6775,-137.1550,2.0,7.40, 8,"Southeastern Alaska"
ci,11275850,1,"Saturday, March 30, 2013 21:14:50 UTC",33.0095,-115.5643,1.3,6.00,25,"Southern California"
ak,10684319,2,"Saturday, March 30, 2013 21:10:23 UTC",60.5129,-150.8458,1.4,44.10,12,"Kenai Peninsula, Alaska"
ak,10686940,2,"Saturday, March 30, 2013 21:00:24 UTC",62.2067,-150.3064,1.1,41.50, 5,"Central Alaska"
nc,71070619,2,"Saturday, March 30, 2013 20:57:54 UTC",38.5185,-122.3247,1.3,2.50,10,"Northern California"
ak,10684308,2,"Saturday, March 30, 2013 20:52:40 UTC",61.5792,-151.3440,3.1,87.50,61,"Southern Alaska"
ak,10686937,2,"Saturday, March 30, 2013 20:44:33 UTC",60.9000,-147.7377,1.0,6.40, 8,"Southern Alaska"
ak,10684306,3,"Saturday, March 30, 2013 20:35:35 UTC",52.2755,-167.3655,2.0,35.00,11,"Fox Islands, Aleutian Islands, Alaska"
ak,10684304,2,"Saturday, March 30, 2013 20:12:13 UTC",62.0790,-145.1667,1.2,20.20,13,"Central Alaska"
ak,10686934,2,"Saturday, March 30, 2013 20:11:12 UTC",63.3977,-150.0506,1.1,114.40,11,"Central Alaska"
nc,71963365,3,"Saturday, March 30, 2013 20:08:05 UTC",38.8070,-122.8187,1.0,3.10,48,"Northern California"
us,b000fwr0,7,"Saturday, March 30, 2013 20:04:49 UTC",23.1037,95.9502,5.0,33.80,103,"Myanmar"
ak,10684299,2,"Saturday, March 30, 2013 19:49:22 UTC",59.8321,-151.1069,1.4,42.50,12,"Kenai Peninsula, Alaska"
ak,10684296,2,"Saturday, March 30, 2013 19:35:32 UTC",62.8486,-149.0251,1.0,65.90,18,"Central Alaska"
nm,033013a,A,"Saturday, March 30, 2013 19:32:11 UTC",35.5200,-92.4325,2.1,0.10,12,"Arkansas"
ak,10684293,2,"Saturday, March 30, 2013 19:09:12 UTC",60.6130,-147.3004,1.5,1.80,19,"Southern Alaska"
pr,13089002,0,"Saturday, March 30, 2013 18:53:59 UTC",19.0659,-65.0033,3.1,68.00, 9,"Virgin Islands region"
ci,11275802,2,"Saturday, March 30, 2013 18:43:30 UTC",32.1318,-115.1750,2.4,17.90,11,"Baja California, Mexico"
